,Date,Actual,Predicted
435,2014-10-20,[30.34000015],[30.18235662]
436,2014-10-21,[30.84000015],[30.3696376]
437,2014-10-22,[31.30999947],[30.71789429]
438,2014-10-23,[30.93000031],[31.17774198]
439,2014-10-24,[30.04000092],[31.13414444]
440,2014-10-27,[30.07999992],[30.44221712]
441,2014-10-28,[31.17000008],[30.10805673]
442,2014-10-29,[30.71999931],[30.79150054]
443,2014-10-30,[30.78000069],[30.97863692]
444,2014-10-31,[31.39999962],[30.87276433]
445,2014-11-03,[31.18000031],[31.18479904]
446,2014-11-04,[30.81999969],[31.30039853]
447,2014-11-05,[30.72999954],[31.0377302]
448,2014-11-06,[31.37000084],[30.81041685]
449,2014-11-07,[31.59000015],[31.16582941]
450,2014-11-10,[31.12000084],[31.56668943]
451,2014-11-11,[31.35000038],[31.38143357]
452,2014-11-12,[31.42000008],[31.30901016]
453,2014-11-13,[31.64999962],[31.41138849]
454,2014-11-14,[31.79000092],[31.62498168]
455,2014-11-17,[32.31000137],[31.79668939]
456,2014-11-18,[32.27000046],[32.1618696]
457,2014-11-19,[32.15000153],[32.32335864]
458,2014-11-20,[32.13000107],[32.24202263]
459,2014-11-21,[32.13000107],[32.16175145]
460,2014-11-24,[32.18999863],[32.15858939]
461,2014-11-25,[32.22999954],[32.21214125]
462,2014-11-26,[32.06999969],[32.26030873]
463,2014-11-28,[33.43000031],[32.17022928]
464,2014-12-01,[32.93999863],[32.95527311]
465,2014-12-02,[33.25999832],[33.15989565]
466,2014-12-03,[33.63999939],[33.20915571]
467,2014-12-04,[33.09000015],[33.48793723]
468,2014-12-05,[33.93000031],[33.31888306]
469,2014-12-08,[32.68000031],[33.65470529]
470,2014-12-09,[32.81000137],[33.15058394]
471,2014-12-10,[31.96999931],[32.79595034]
472,2014-12-11,[32.18999863],[32.25993012]
473,2014-12-12,[31.56999969],[32.14844859]
474,2014-12-15,[31.],[31.8332173]
475,2014-12-16,[30.72999954],[31.27201802]
476,2014-12-17,[31.14999962],[30.86073371]
477,2014-12-18,[31.75],[31.03035188]
478,2014-12-19,[32.81000137],[31.58222631]
479,2014-12-22,[33.22999954],[32.47694863]
480,2014-12-23,[33.56000137],[33.11922002]
481,2014-12-24,[33.43000031],[33.4755612]
482,2014-12-26,[33.72999954],[33.48511485]
483,2014-12-29,[34.59999847],[33.62938958]
484,2014-12-30,[35.09000015],[34.30144357]
485,2014-12-31,[34.90999985],[34.96767742]
486,2015-01-02,[34.84000015],[35.03250361]
487,2015-01-05,[34.33000183],[34.86407118]
488,2015-01-06,[34.84999847],[34.48925929]
489,2015-01-07,[35.84000015],[34.66282854]
490,2015-01-08,[36.20000076],[35.50807654]
491,2015-01-09,[35.59000015],[36.14238124]
492,2015-01-12,[35.84000015],[35.84667761]
493,2015-01-13,[35.25],[35.70371176]
494,2015-01-14,[34.29999924],[35.41954032]
495,2015-01-15,[33.43000031],[34.64525309]
496,2015-01-16,[33.68000031],[33.70258772]
497,2015-01-20,[33.93000031],[33.54733741]
498,2015-01-21,[33.88999939],[33.85516542]
499,2015-01-22,[33.81999969],[33.96373716]
500,2015-01-23,[33.75],[33.86055607]
501,2015-01-26,[33.70000076],[33.75613793]
502,2015-01-27,[33.41999817],[33.71410665]
503,2015-01-28,[32.84000015],[33.53565208]
504,2015-01-29,[33.15999985],[33.06268563]
505,2015-01-30,[32.61999893],[33.0407197]
506,2015-02-02,[33.11000061],[32.83110491]
507,2015-02-03,[33.97999954],[32.9717622]
508,2015-02-04,[35.83000183],[33.67235137]
509,2015-02-05,[36.25],[35.2000443]
510,2015-02-06,[36.],[36.17263851]
511,2015-02-09,[36.],[36.14059021]
512,2015-02-10,[37.52000046],[35.94969416]
513,2015-02-11,[37.66999817],[36.94864471]
514,2015-02-12,[38.02000046],[37.698556]
515,2015-02-13,[37.61999893],[37.98059798]
516,2015-02-17,[37.24000168],[37.7329632]
517,2015-02-18,[37.18999863],[37.32536222]
518,2015-02-19,[37.50999832],[37.1663111]
519,2015-02-20,[37.65000153],[37.39033572]
520,2015-02-23,[37.68999863],[37.6182554]
521,2015-02-24,[37.75],[37.67833081]
522,2015-02-25,[37.86000061],[37.69948095]
523,2015-02-26,[37.56000137],[37.79090774]
524,2015-02-27,[37.31000137],[37.64592121]
525,2015-03-02,[37.61000061],[37.36222338]
526,2015-03-03,[37.79999924],[37.45455732]
527,2015-03-04,[37.56999969],[37.71903534]
528,2015-03-05,[37.61000061],[37.65548213]
529,2015-03-06,[36.84000015],[37.55903291]
530,2015-03-09,[37.65999985],[37.05654557]
